date,confirmed_cases_us,confirmed_cases_global,recovered_global
3/1/2020,30,88369,42716
3/2/2020,53,90306,45602
3/3/2020,73,92840,48228
3/4/2020,104,95120,51170
3/5/2020,174,97888,53796
3/6/2020,222,101806,55865
3/7/2020,337,105848,58358
3/8/2020,451,109822,60694
3/9/2020,519,113595,62494
3/10/2020,711,118623,64404
3/11/2020,1109,125879,67003
3/12/2020,1561,131007,68324
3/13/2020,2149,145225,70251
3/14/2020,2859,156120,72624
3/15/2020,2955,167507,76034
3/16/2020,4336,181653,78088
3/17/2020,6112,197150,80840
3/18/2020,8871,214873,83312
3/19/2020,14095,242632,84975
3/20/2020,19404,272264,87420
3/21/2020,25725,304580,91692
3/22/2020,33638,337022,97899
3/23/2020,43682,378301,98351
3/24/2020,53925,418295,108000
3/25/2020,65844,467817,113787
3/26/2020,83836,529722,122150
3/27/2020,101962,593764,130915
3/28/2020,121786,661174,139415
3/29/2020,140910,720291,149082
3/30/2020,162147,782816,164566
3/31/2020,188172,857608,178034
4/1/2020,213602,933010,193198
4/2/2020,244008,1013863,210269
4/3/2020,275798,1096324,225814
4/4/2020,309027,1176436,246152
4/5/2020,336802,1249743,260023
4/6/2020,366317,1321436,276534
4/7/2020,397121,1396438,300054
4/8/2020,428654,1480232,328703
4/9/2020,463327,1566102,353989
4/10/2020,496846,1658261,376104
4/11/2020,526776,1736412,402120
4/12/2020,555313,1835145,421722
4/13/2020,580624,1905165,448672
4/14/2020,607670,1975566,473980
4/15/2020,636674,2055748,510516
4/16/2020,667981,2152181,541592
4/17/2020,700062,2239990,567765
4/18/2020,728352,2317636,591719
4/19/2020,754376,2400787,623307
4/20/2020,780064,2472109,645308
4/21/2020,807023,2549046,679905
4/22/2020,835150,2624608,710046
4/23/2020,869170,2708403,738980
4/24/2020,905358,2795731,789585
4/25/2020,938154,2881140,817405
4/26/2020,965785,2955033,845985
4/27/2020,988197,3023722,873677
4/28/2020,1012582,3097229,906955
4/29/2020,1039909,3172287,948425
4/30/2020,1069424,3256910,1013886
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
